player_name,tot_resid_adj,total_adjustment,avg_ott_adj,avg_putt_adj,avg_app_adj,avg_arg_adj,delta_app_adj,updated_pred_r3
"rose, justin",-0.2672991931723936,-0.43517919317239373,0.0374,-0.10709999999999999,-0.03968,-0.058499999999999996,,0.5053279248184727
"hisatsune, ryo",-0.26110602675852457,-0.20985402675852471,0.20679999999999998,-0.039,-0.034048,-0.0825,,-0.3613802224962827
"jaeger, stephan",-0.23981018991516795,-0.32951018991516795,-0.0903,0.0195,-0.0225,0.0036,,-0.22305382230694404
"mcnealy, maverick",-0.014456011586303791,0.07574398841369623,0.11270000000000002,-0.0006,0.0186,-0.0405,,1.4519373132266762
"li, haotong",-0.08140361137777835,-0.12570361137777833,0.0427,-0.013200000000000002,-0.054,-0.0198,,0.36784529688689915
"knapp, jake",-0.025552205633952545,0.08944779436604748,0.10710000000000001,-0.017,0.0204,0.0045,,1.102824685685535
"matsuyama, hideki",-0.1746979937649831,-0.2358979937649831,-0.046200000000000005,0.006600000000000001,-0.0393,0.017699999999999997,,1.5314962868960786
"ventura, kristoffer",-0.045501927176007935,0.061198072823992075,0.09310000000000002,-0.0227,0.012299999999999998,0.024,,0.507972536204782
"schenk, adam",-0.07888345474421894,0.0011165452557810943,0.11270000000000002,0.0045000000000000005,-0.048600000000000004,0.0114,,-0.7270115430030095
"mitchell, keith",-0.0017045486195602505,0.07219545138043976,0.08470000000000001,0.0177,-0.0723,0.0438,,0.6934825615484663
"coody, pierceson",-0.03074151715137008,0.07195848284862993,0.13090000000000002,0.0063,-0.028199999999999996,-0.006299999999999999,,0.9387648076385188
"gotterup, chris",-0.025714659116475552,0.07998534088352445,0.1386,0.0103,-0.048600000000000004,0.005399999999999999,,1.0994724549609376
"lower, justin",-0.019246580679232378,-0.05084658067923239,-0.025900000000000003,-0.0087,-0.0234,0.0264,,-0.8339318269222488
"theegala, sahith",-0.06902293138495047,-0.19492293138495048,-0.03710000000000001,-0.0144,0.0255,-0.0999,,0.5196258671695335
"parry, john",-0.011124869013985373,-0.10792486901398538,-0.03710000000000001,0.0009,-0.0618,0.0012,,0.40351188389406945
"day, jason",-0.2627321930260423,-0.07743219302604229,0.1008,0.0034999999999999996,0.0228,0.058199999999999995,,1.1556444758970665
"vilips, karl",0.024713216083565855,-0.12854678391643415,-0.21746000000000001,0.0,0.0018,0.0624,,-0.15710760080886543
"stevens, samuel",-0.03747813903813277,0.23991186096186723,0.28054,-0.0,-0.01275,0.0096,,1.2515956893123432
"vanderlaan, john",0.20711890815329434,0.07209890815329432,-0.12782000000000002,0.0,0.0288,-0.036,,-0.4928852022780734
"pavon, matthieu",-0.102674284940559,-0.240704284940559,-0.12948,0.0,-0.01635,0.0078,,-0.2795956808612038
"meissner, mac",0.2960719486997223,0.30438194869972235,0.20916,0.0,-0.0052499999999999995,-0.19559999999999997,,0.9030618465240338
"salinda, isaiah",0.1992380991866417,0.3855180991866417,0.04648000000000001,0.0,0.009,0.1308,,-0.08021174565409278
"moore, taylor",0.09421399871387243,0.1539739987138724,0.05976,-0.0,0.0174,-0.0174,,0.02814086669395402
"clark, wyndham",0.1596515051915481,0.014251505191548101,-0.1577,0.0,0.0441,-0.0318,,1.00027122442446
"scott, adam",0.02495082478877261,0.4295208247887726,0.35192,-0.0,0.013049999999999999,0.0396,,1.4111682631460454
"kim, s.h.",0.00791285516129994,0.13654285516129994,0.18758,0.0,-0.030749999999999996,-0.028199999999999996,,0.405229014031921
"bradley, keegan",0.15682237482848238,0.3433923748284824,0.24402000000000001,-0.0,0.02175,-0.0792,,1.3753403025108246
"thompson, davis",-0.08201258182895715,-0.043762581828957176,-0.049800000000000004,-0.0,0.014249999999999999,0.07379999999999999,,0.6351926831428916
"ghim, doug",0.2307730498478776,0.45240304984787766,0.26228,0.0,-0.01125,-0.0294,,0.6541279908133281
"eckroat, austin",0.1373753832789255,0.26763538327892555,0.18426000000000003,0.0,-0.003,-0.051,,0.5417411094070244
"dou, zecheng",0.26097748492145456,0.36740748492145464,0.16268000000000002,0.0,0.012150000000000001,-0.06839999999999999,,0.28183660057018256
"walker, danny",0.45810448948823124,0.33533448948823125,-0.011620000000000002,0.0,0.00765,-0.11879999999999999,,-0.22631819730114927
"rodgers, patrick",0.0990838239187312,0.2183838239187312,0.10790000000000001,0.0,0.0174,-0.006,,1.0328273798450975
"bauchou, zach",0.2854738674199186,0.29956386741991864,-0.02656,0.0,0.01005,0.0306,,-0.022189856514843176
"castillo, ricky",0.05319828916354375,-0.07144171083645626,-0.04814,0.0,-0.0039,-0.0726,,0.42549546407658057
"reitan, kristoffer",-0.06882155901668356,-0.20433155901668357,-0.08466,0.0,-0.02745,-0.0234,,0.2798214248829507
"hubbard, mark",-0.17780568999636995,-0.20429568999636996,-0.08964000000000001,-0.0,-0.00405,0.06720000000000001,,-0.34430863006702694
"hirata, kensei",0.22566557758323896,0.12698557758323897,-0.021580000000000002,0.0,-0.0045,-0.0726,,-0.6139125880757788
"nakajima, keita",0.07605123401349216,0.20607123401349217,0.06972,0.0,0.010499999999999999,0.0498,,0.3456327313394736
"rozo, marcelo",-0.10031650706732996,-0.047386507067329955,0.04648000000000001,-0.0,-0.00255,0.009,,-1.1180452190688028
"suber, jackson",0.16690745384320468,0.33312745384320475,0.10292000000000001,-0.0,0.042899999999999994,0.0204,,0.22438886664210966
"valimaki, sami",-0.13272618278067322,-0.2397461827806732,0.038180000000000006,-0.0,-0.034199999999999994,-0.111,,0.11123633284917941
"greyserman, max",-0.5,-0.7516380598666189,-0.01494,-0.0,-0.02175,0.0996,,0.01747288374089362
"lamprecht, christo",0.053314154194188175,-0.05859584580581183,-0.00166,-0.0,0.00075,-0.111,,-0.5597379852715342
"sargent, gordon",-0.10437078119971084,-0.04821078119971083,0.10956,0.0,-0.0624,0.009,,-1.062559969510046
"smotherman, austin",-0.05657675739306197,0.030143242606938025,0.028220000000000002,-0.0,0.0159,0.0426,,0.3291128072897319
"hossler, beau",-0.04280534953797349,-0.020945349537973494,-0.03154,0.0,-0.0036,0.056999999999999995,,0.0609113332697739
"zalatoris, will",-0.30891272537963177,-0.34035272537963174,-0.01494,-0.0,-0.0069,-0.0096,,0.715093423147664
"kuchar, matt",-0.02671093089583541,-0.1588709308958354,-0.051460000000000006,0.0,-0.0255,-0.0552,,-0.3388156358509154
"roy, kevin",-0.101765672059866,-0.056415672059866,0.0083,-0.0,0.0052499999999999995,0.0318,,-0.10024882910264671
"whaley, vince",0.09988511529291921,0.1953551152929192,0.036520000000000004,0.0,0.00195,0.056999999999999995,,-0.0018963615047152826
"snedeker, brandt",-0.28062789003658106,-0.5679578900365811,-0.23738,-0.0,-0.022949999999999998,-0.027,,-0.7307750849348713
"ford, david",-0.03106958361222591,-0.05461958361222592,-0.1245,-0.0,0.02775,0.0732,,-0.154061293887432
"norlander, henrik",0.024485001191637653,-0.13491499880836236,-0.0664,-0.0,-0.006,-0.087,,-1.153776394128673
"list, luke",-0.03996530768027689,-0.06296530768027689,-0.1328,0.0,-0.0024,0.11220000000000001,,-1.0120155820672196
"svensson, adam",-0.13641599715069205,-0.2553059971506921,-0.16434,-0.0,-0.00075,0.0462,,-0.8555826750504116
"hoffman, charley",-0.11299645208799607,0.04941354791200393,0.14276,-0.0,-0.02235,0.041999999999999996,,-0.8456689867338432
"smalley, alex",-0.33456279257428434,-0.6389427925742843,-0.27888,-0.0,-0.0201,-0.005399999999999999,,-0.37409229207032224
"dumont de chassart, adrien",-0.20662293462410053,-0.15167293462410053,0.0581,-0.0,-0.00975,0.0066,,0.01521068601138928
"hodges, lee",-0.5,-1.021527607650193,-0.25398000000000004,-0.0,-0.0405,-0.009,,-0.6468566626655827
"higgo, garrick",-0.5,-1.0798888344526292,-0.27556,-0.0,-0.0117,0.010799999999999999,,-0.3596536827361626
"kang, jeffrey",0.07552429388810938,-0.29049570611189063,-0.27722,-0.0,0.0078,-0.0966,,-1.1427893351006193
"fishburn, patrick",-0.17801527803730852,-0.15187527803730855,-0.018260000000000002,0.0,-0.021599999999999998,0.066,,-0.3027838540948644
"tosti, alejandro",-0.1309730195025065,-0.47848301950250655,-0.26726000000000005,0.0,-0.04965,-0.0306,,-1.1723193623845258
"rosenmueller, thomas",-0.40592009707624627,-0.20888009707624625,0.11454,-0.0,-0.024300000000000002,0.10679999999999999,,-0.4758460787415819
"highsmith, joe",-0.5,-1.2564850934732887,-0.68724,-0.0,0.00375,0.09720000000000001,,-2.100431055071714
"horschel, billy",-0.16689857314446513,-0.04222857314446514,0.05312,-0.0,-0.01065,0.08220000000000001,,-0.29163356485835856
"villegas, camilo",0.14367227876510658,-0.08914772123489347,-0.22742000000000004,0.0,0.0006,-0.006,,-1.8874652180094857
"geddes, mark",0.3613412718917812,0.03693127189178122,-0.31706,0.0,-0.005549999999999999,-0.0018,,-5.879711571864288
"lee, s.t.",-0.48880681031499307,-0.5337868103149931,-0.021580000000000002,-0.0,-0.033,0.0096,,-1.2990071444710507
"dahmen, joel",-0.24466895206196604,-0.2475929520619659,0.0693,-0.0057,-0.017024,-0.0495,,-0.2840380045329661
"kim, si woo",0.06279223086493017,0.10082423086493018,0.007700000000000001,0.0006,-0.06476799999999999,0.0945,,1.7309278710512173
"mcgreevy, max",0.05575475674148318,-0.14283324325851682,0.08360000000000001,-0.07709999999999999,-0.025088,-0.18,,0.39231698986790203
"power, seamus",-0.08296805053165804,-0.21816805053165805,-0.016800000000000002,-0.056600000000000004,-0.0351,-0.026699999999999998,,-0.04184200659552706
"lipsky, david",-0.03125924389874879,-0.1677592438987488,-0.06230000000000001,0.0014000000000000002,-0.0501,-0.0255,,-0.5101587625739531
"mccarty, matt",-0.010693258818140728,-0.008493258818140725,0.027300000000000005,-0.0188,-0.0021000000000000003,-0.004200000000000001,,0.803191799245921
"cole, eric",-0.0826441297103479,-0.18334412971034791,-0.0252,-0.0197,-0.0324,-0.0234,,0.046425554530181184
"thorbjornsen, michael",-0.03927273399639261,-0.0930727339963926,0.039200000000000006,-0.0123,-0.0219,-0.0588,,0.8069474742873028
"brown, dan",-0.0035278476595772094,-0.042727847659577205,0.007700000000000001,-0.0421,-0.009,0.004200000000000001,,-0.049597483253334504
"novak, andrew",-0.00029888988839739064,-0.11249888988839739,-0.0035000000000000005,0.0014000000000000002,-0.1035,-0.0066,,0.3512003004338139
"gerard, ryan",-0.03611821608595625,-0.04071821608595623,0.053200000000000004,0.0031,-0.035699999999999996,-0.025199999999999997,,0.956331264302448
"english, harris",-0.005283569818966069,0.06761643018103393,0.058100000000000006,0.012700000000000001,-0.026099999999999998,0.028199999999999996,,1.1117842719252158
"hojgaard, nicolai",-0.03756101669847975,0.07153898330152025,0.10990000000000001,-0.0134,0.0102,0.0024,,1.0175574568388253
"finau, tony",-0.06604083439639184,-0.030540834396391832,0.05600000000000001,0.0152,-0.036,0.0003,,0.07680931021212786
