course_name,current_round,date_end,date_start,event_id,event_name,last_updated,multi_course,tour_x,tz_offset,am,country,dg_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,tour_rank,r1_course,r2_course,r3_teetime,r3_course,r4_teetime,r4_course,Birthday,c_exp,player_age,std_dev,skill_est,ema_8_great_shots,max_skill,sma_50_max_skill,tour_y,Date,age_squared,adj_skill_est,delta_adj_skill_est,delta_sg_putt,delta_sg_ott,dsle,consecutive_weeks_played,sample,relative_consecutive_weeks,relative_dsle,course_adjustment,putt_adj,app_adj,dd_adj,acc_adj,arg_adj,course_history_raw,comp_adj_skill_est,comp_max_skill,comp_ema_sg_adj,comp_putt,comp_ott,comp_max_skill_50,comp_6m_sg,comp_sma20_sg,pred_step2,comp_sma50_sg,comp_sma6m_sg,majors_history_raw,links_adj,comp_age,comp_relative_dsle,comp_c_exp,comp_c_adj,comp_c_hist,comp_major,comp_links,pred,r1_teetime,r2_teetime
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,SWE,23950,5.0,13.0,"aberg, ludvig",52955,703,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-10-31,-6.5,26,3.0321127396628307,1.829182076156579,0.5291620524178668,1.94196489416066,1.7412,pga,2026-05-17,676,1.829182076156579,0.1999999999999999,-0.19,0.2199999999999999,7.0,3.0,41.0,0.8769230769230769,3.9538461538461536,-0.0524046348745845,0.0361036121772751,0.0001810252978368,0.0110474232485093,0.0130851932400346,-0.1128218888382405,0.0,0.9598376766532498,,0.2266132074675695,-0.0072528881003265,0.1138220793411584,0.3674363533117908,0.148310494637026,,1.8144175426022195,-0.0190190807499495,-0.0327037489973186,11.606757144893251,0.0251800084519753,0.0573734490390198,-0.0513999999999999,-0.0416,-0.0275124333091568,0.0,0.0,0.0,1.6939051092930628,2026-05-28 12:24,2026-05-29 07:44
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,19846,94.0,159.0,"bauchou, zach",48001,328,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-01-01,-6.5,30,3.0,-2.5,0.6541620524178668,0.1469444444444445,0.1413793103448276,pga,2026-05-18,900,-2.5,0.2299999999999999,-0.11,-0.01,0.0,2.0,45.0,-0.123076923076923,-3.0461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307034924789364,0.0042319597241308,0.2086698346655525,-0.0013747241474796,0.0110416765683584,,,-0.0013539385755927,0.2917779535663759,-0.0070031783885536,0.0213115773080379,-2.6800633315034075,0.0,0.0255512539329856,0.03564,-0.03575,0.0,0.0,-0.0,0.0,0.2916679535663759,2026-05-28 13:08,2026-05-29 08:28
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,RSA,18103,59.0,91.0,"bezuidenhout, christiaan",45522,303,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-05-18,11.5,32,2.3,0.6920895891462187,0.5291620524178668,1.2024297193622373,1.028,pga,2026-05-18,1024,0.6920895891462187,0.09,0.17,-0.42,2.0,3.0,50.0,0.8769230769230769,-1.0461538461538464,-0.0751122310853101,0.0409134795826916,5.1146645438416e-05,-0.0148338972585458,-0.0019162638083681,-0.0993266962465262,15.205995981629128,0.3507794759430117,,0.0689691151153112,-0.0235612780240627,-0.0752804942800798,0.2169334776042504,0.0641919894653476,,0.5868696528096293,-0.0092897019935727,-0.0118766923795363,6.90256996254224,0.0794554318585559,0.0060037613589599,0.0136,0.0736,-0.0394339213197878,0.0760299799081456,0.0,0.0,0.7106657113979872,2026-05-28 07:00,2026-05-29 11:40
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,26096,34.0,26.0,"bhatia, akshay",56630,519,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-31,3.5,24,3.07557691962486,1.0874824721909382,-0.2208379475821331,1.4612419125796994,1.0296,pga,2026-05-15,576,1.0874824721909382,-0.2,-0.25,-0.05,9.0,0.0,48.0,-2.123076923076923,5.953846153846154,-0.0029639640774906,0.0673086687583137,0.0001519379948366,-0.0007490074681345,-0.0369601337515848,-0.0327154296109216,-2.3326801827374792,0.5958359647757503,,0.0324811798234326,-0.0255029960981659,-0.0488694154063127,0.2173133222148416,0.0996888744676273,,0.9126703094876478,-0.0125417688448393,-0.0185294763915025,-8.884778276346674,-0.0267900657862778,0.0727946249468162,-0.0774,0.0224,-0.0015560811406825,-0.0116634009136873,-0.0,-0.0,0.8444508274332777,2026-05-28 12:35,2026-05-29 07:55
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,17639,161.0,199.0,"blair, zac",40058,91,165.0,0.0,0.0,0.0,0.0,0.0,0.0,1990-08-20,5.5,35,2.379516469582507,0.0304616227017789,-0.5958379475821332,0.0421997022077154,-0.0366,pga,2026-05-18,1225,0.0304616227017789,0.21,0.0,0.0,0.0,4.0,43.0,1.876923076923077,-3.0461538461538464,0.0928510980338315,-0.0325231107972243,0.0001195806757175,-0.0141680505473396,0.0808988894531655,0.0585237892495124,-11.439358163175678,0.00335385690123,0.0012153398571041,-0.0896571361151601,0.0136800908504464,-0.0573126226980831,,,-0.0058670671609019,-0.1657696593677033,-0.0115902516327327,0.0121054722645118,6.428192867983726,0.0,-0.0316973416341178,0.03564,0.03025,0.0441042715660699,-0.1143935816317567,0.0,0.0,-0.1701689694333901,2026-05-28 07:00,2026-05-29 11:40
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,24956,177.0,110.0,"blanchet, chandler",54788,103,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-02-01,-6.5,31,2.9471112329724165,-0.0229990653256225,-0.7208379475821332,0.3819243834746473,0.1024,pga,2026-05-18,961,-0.0229990653256225,0.18,0.09,-0.0199999999999999,2.0,4.0,42.0,1.876923076923077,-1.0461538461538464,0.1629985068695683,-0.0211417337435384,3.741359234254759e-05,-0.0056528253288019,0.0691347314946061,0.1206209208549599,0.0,-0.0222526058784875,0.0110351162087311,-0.1068097856448255,0.0026067458227729,0.0227223549543007,,,-0.0248222072192006,-0.1223569272374381,-0.0045378448383491,-0.0166546536305377,3.479862007285381,0.0,0.0163559529881577,0.01224,-0.03575,0.0774242907630449,0.0,0.0,0.0,-0.0684426364743931,2026-05-28 13:08,2026-05-29 08:28
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,13872,44.0,35.0,"bradley, keegan",33141,287,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1986-06-07,1.5,39,2.990602579511948,0.9568293061604204,-0.4708379475821331,1.4832308145433144,1.2553999999999998,pga,2026-05-15,1521,0.9568293061604204,-0.0499999999999999,0.21,0.09,9.0,0.0,45.0,-2.123076923076923,5.953846153846154,-0.0545121228228996,0.0227150210282623,1.703302197923804e-05,0.0037089413040982,0.0141665452662794,-0.0951196634435189,14.615373795327564,0.5105261103544327,,0.0517372535572613,-0.0136721072345618,0.0529723807343739,0.2649205134089261,0.0946713554707,,0.8359252834052813,-0.0092821127694853,-0.008482856440225,18.158269723472788,-0.2147742604822792,-0.1074652536761405,-0.0774,0.0096,-0.0286188644820222,0.0730768689766378,0.0,-0.0,0.8125832878998968,2026-05-28 07:44,2026-05-29 12:24
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,29197,122.0,60.0,"brennan, michael",61522,103,125.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-06-01,-6.5,23,2.5788550186445454,0.2227673436671199,1.0291620524178668,0.4625787639125214,0.1636,pga,2026-05-18,529,0.2227673436671199,-0.91,0.12,0.0,2.0,2.0,44.0,-0.123076923076923,-1.0461538461538464,0.11175522778427,-0.0283470143103337,1.860607972973243e-05,0.0149924736624514,0.0017697265587105,0.123321435793712,0.0,0.1178396304524702,0.0133215772856655,-0.0736269905679846,0.0021074054972122,0.1369044216705296,,,0.0442286601360302,0.3050167488997796,-0.0047654678060792,0.0012072988335006,-0.3401306526444489,0.0,0.0678002133984349,0.01224,-0.03575,0.0530837331975282,0.0,-0.0,0.0,0.3345904820973078,2026-05-28 12:35,2026-05-29 07:55
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,ENG,20766,169.0,109.0,"brown, dan",57259,74,132.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-01-01,-6.5,31,2.3,0.142419425871497,0.0,0.3449542869414761,0.0227999999999999,euro,2025-12-21,961,0.142419425871497,0.13,-0.27,0.0399999999999999,0.0,4.0,39.0,1.876923076923077,-3.0461538461538464,0.0659448460484917,0.0013396144356471,4.55367330618802e-05,-0.0009256799335692,0.0122330502776023,0.0532523245357495,0.0,-0.2270574041284896,0.0063359397003999,-0.0462558249768461,0.0125993372140087,0.0105813204202065,,,-0.0662928443308753,-0.3300956422937146,0.0212237896272883,-0.0556701418462251,-0.289190483023293,0.2401636918981784,0.0144401860268179,0.03564,-0.03575,0.0313238018730335,0.0,-0.0,0.0,-0.298881840420681,2026-05-28 13:30,2026-05-29 08:50
Colonial Country Club,1,2026-05-31,2026-05-28,21,Charles Schwab Challenge,2026-05-26 00:41:04 UTC,no,pga,-18000,0,USA,18628,343.0,111.0,"campbell, brian",46443,87,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-05-23,-4.5,33,3.2,-0.7215489141576328,-0.3458379475821331,0.4943252169258131,0.1624,pga,2026-05-17,1089,-0.7215489141576328,-0.4,0.22,-0.29,7.0,4.0,43.0,1.876923076923077,3.9538461538461536,0.0601830639896387,0.030812819198369,-0.0001199271580835,-0.0237533577139361,0.0426038896933937,0.0106396399698956,-1.0397734416723412,-0.3036289375615545,0.0142230151555726,-0.2418552011214696,-0.0147624879187085,-0.125739067331026,,,-0.1214031589448177,-0.8243383780962976,0.0278010143569066,-0.057167123798812,4.22820380894327,-0.0575922938773371,-0.0018064309323881,-0.0462599999999999,-0.0247499999999999,0.0285869553950783,-0.0103977344167234,0.0,-0.0,-0.8771591571179427,2026-05-28 08:06,2026-05-29 12:46
